Frequency (Hz),Trace 1 (dB),Phase (deg),Trace 2 (dB),Phase (deg)
0,-64.48018947240917,0,-11.01886178848544,0
1.586977541601664,-64.83053215346303,177.6922619326199,-11.32877275368196,0.01799243846373462
3.173955083203328,-67.97716661159053,174.6123358375931,-14.83039889274967,0.03765737203698764
4.760932624804992,-75.7250974436751,159.6467958569831,-25.272527472808,0.07136306216759598
6.347910166406656,-81.08423869612089,124.223966858295,-48.14362037886261,0.5233131846949459
7.93488770800832,-83.58904450117784,126.9371299062491,-94.12403219168209,79.33727364018232
9.521865249609984,-88.62015995000633,147.2798618538129,-89.49448130477313,128.4091175623543
11.10884279121165,-99.01499537993736,73.73139643837743,-81.16709194387381,107.8059322802844
12.69582033281331,-85.44806079510629,115.5152265876048,-77.4857323218107,98.26640169474129
14.28279787441498,-83.08137050091102,125.7686094044238,-76.49369840364038,95.05636172305249
15.86977541601664,-84.37622269933459,155.9051797184812,-77.93075287325286,93.92477431095817
17.45675295761831,-85.91913145769473,23.78482161196353,-80.40315188024775,88.4977125987882
19.04373049921997,-84.14840644601382,61.78704960722693,-82.92708071690215,82.39609273158308
20.63070804082163,-83.43952282657108,69.24544276709619,-86.73964919414061,91.22291887598892
22.2176855824233,-88.27096283595843,43.19105031443986,-88.69629405132596,129.7857901585827
23.80466312402496,-83.96590356186084,140.8404263323987,-86.30884361069724,164.0860552048489
25.39164066562662,-79.24144291875859,131.3262800818495,-84.50019635882576,12.68984437811527
26.97861820722829,-77.8156989871928,132.6495940509538,-84.66890934075079,24.25856140548078
28.56559574882995,-77.70639510064763,137.7237297642825,-89.27186530847037,5.799322325221396
30.15257329043162,-79.61990250557326,148.7844005866652,-96.44488919520379,122.0365670261586
31.73955083203328,-82.78775939135521,166.9501951214691,-92.52614946259378,54.69055009636548
33.32652837363494,-85.43233042475615,3.60397715928929,-87.78533143157975,50.43685267048009
34.91350591523661,-88.88496252149193,17.1696976207026,-88.44685577423319,50.07532641987556
36.50048345683827,-90.65388344685374,55.23895477427263,-100.5871492978045,31.03032687028837
38.08746099843994,-88.95129419640591,65.42304807336481,-92.28345529174442,62.03062575548055
39.6744385400416,-93.55498252761714,42.02504103783205,-83.98524906270558,53.62433260862296
41.26141608164326,-92.70330168913405,133.6796057316363,-79.79794318561014,55.14089598383396
42.84839362324493,-84.68360310054878,132.9370459264078,-79.21185080201712,60.54471676241348
44.43537116484659,-81.17846796684228,130.4310863010275,-74.19807312825357,174.2879030795929
46.02234870644826,-80.0553296210321,121.9437149201212,-59.09216360675394,148.6647469578503
47.60932624804992,-79.2991280627771,123.6060302422649,-52.46101906009901,145.6672337135753
49.19630378965159,-80.28779708611071,129.2946196920929,-51.0122932850762,144.9437064217601
50.78328133125325,-81.84034448025162,140.3390097787127,-51.04624449411745,144.7084677903612
52.37025887285491,-80.10330473550169,150.0768543059667,-52.52432769306954,144.7132214583492
53.95723641445657,-79.22737132105624,157.9807988438644,-59.26126317936139,145.4462744185696
55.54421395605824,-79.39206852178597,169.0791255188997,-76.53693631788686,150.7305923764204
57.13119149765991,-80.77579373018175,171.4729337584255,-92.65409981634825,111.325848298543
58.71816903926157,-88.17337382294284,169.1341185967197,-95.10240865782748,23.43166114678529
60.30514658086324,-105.1043974273738,149.4036949951372,-90.70993527562743,143.6468705981603
61.8921241224649,-92.25613820188123,2.171378982671015,-89.09492344589465,133.5052136391452
63.47910166406656,-87.35872137939313,23.68906766899749,-90.74376961146228,162.0123766349859
65.06607920566823,-87.95176859172324,56.87466281734329,-93.47121101219179,171.2577164599511
66.65305674726989,-86.7898209370246,110.1015623593616,-94.38620449996917,138.2117397238059
68.24003428887156,-85.01851969503535,131.1527770241147,-98.62766065737354,95.66625038214033
69.82701183047323,-84.62437173451255,153.433310812649,-91.38412755632865,14.87602963163561
71.41398937207488,-83.59254041308019,175.9770409362257,-84.18733818539336,9.22479126989192
73.00096691367655,-84.24017701994215,173.4279675972532,-81.36091137742307,2.58283951619308
74.5879444552782,-85.99333526697906,148.3340491275374,-82.82668548453033,0.1919022313238208
76.17492199687987,-85.25106937923299,127.1888568325702,-87.50831941012214,32.60113225321681
77.76189953848154,-83.55243699415149,113.4437880297437,-86.54170963755071,92.04025063468788
79.3488770800832,-85.15373158900582,105.0746052262393,-85.68046082790586,125.9950547352372
80.93585462168487,-91.55643425923441,131.1900783117857,-89.50238584635771,157.446528719414
82.52283216328652,-92.32528251583986,172.7603577012893,-100.7799331520542,40.02628488025522
84.10980970488819,-90.51729435148674,167.2775834475795,-89.62513000474858,173.0424550738875
85.69678724648986,-85.99548648613315,161.9209060452266,-83.84486519233306,10.32150837184527
87.28376478809152,-81.48182139137099,159.393633807505,-81.52026024571775,42.26227536561414
88.87074232969319,-78.83997138239002,164.8866044363683,-79.18781665806017,56.37233535360792
90.45771987129486,-78.45213840172352,175.6004522778476,-80.35023417745991,53.99474998437153
92.04469741289651,-78.50713068089365,1.104598818462157,-85.64636576096619,56.71978371993693
93.63167495449818,-79.54833247226931,176.9670301697145,-90.67730310584497,42.35235504474492
95.21865249609985,-82.64761419941593,160.2190957215414,-68.20796340957247,50.22193889729598
96.8056300377015,-83.06768277708196,139.2867892101078,-57.07513271231883,52.55358604163326
98.39260757930317,-82.00337940950475,128.5266076562223,-53.37711597178904,52.94283193832733
99.97958512090483,-81.82032916074371,114.0162874954919,-53.02890376823342,52.84364780237834
101.5665626625065,-82.56487557173827,111.8388392035962,-53.26422493356816,52.64814749065028
103.1535402041082,-84.13559915135941,110.4711849624345,-56.67367134249466,52.48654657057881
104.7405177457098,-86.60756650049316,89.5204053665109,-67.14128941517272,53.42015863974766
106.3274952873115,-92.82628313390035,49.57700024720489,-86.52161762946557,96.38025298526114
107.9144728289131,-92.41752724265055,138.5732870909431,-83.41297030306947,141.7768226191938
109.5014503705148,-88.69015541288709,113.1672009359014,-81.25785767883968,152.8981117133887
111.0884279121165,-90.7396986359754,74.61961371014898,-82.17155127420126,170.9953662024996
112.6754054537181,-88.09948178409471,22.15427343736816,-83.68793133495859,23.07948242558277
114.2623829953198,-85.50575367433296,18.94574067384475,-85.58381511103693,60.56258292342279
115.8493605369215,-84.05124830478015,28.0291168906003,-89.34576491575761,90.6098806564371
117.4363380785231,-84.34952049441057,47.24696042126842,-102.1560426092931,18.75669818989339
119.0233156201248,-84.0298994998968,86.65618510593215,-88.63784544096747,56.52401640231221
120.6102931617265,-83.46482489062399,112.8934886066893,-88.20639002020799,35.90091050061444
122.1972707033281,-85.3536764923862,152.0205400670891,-90.2826357822123,163.8064487538998
123.7842482449298,-83.35848877415867,5.579669129663196,-86.32732054104835,115.5438283486447
125.3712257865315,-83.40027730308428,13.71009546988668,-83.2631822018169,103.5098638043702
126.9582033281331,-84.93420675779325,10.93326867497766,-84.76593663879362,109.7751193891194
