Time (s),Channel 1 (V),Channel 2 (V)
-0.005016696428571429,-0.9948201805057678,-0.1101332536639789
-0.005015446428571428,-0.9955098097477044,-0.1080912128982522
-0.005014196428571429,-0.996889068231577,-0.1067298523877684
-0.005012946428571428,-0.9975786974735142,-0.1046878116220411
-0.005011696428571428,-0.9986131413364199,-0.1043474714944191
-0.005010446428571428,-1.000337214441261,-0.1023054307286933
-0.005009196428571428,-1.001716472925134,-0.1012844103458294
-0.005007946428571428,-1.00240610216707,-0.09992304983534553
-0.005006696428571428,-1.001371658304166,-0.09958270970772443
-0.005005446428571429,-1.002061287546102,-0.09754066894199775
-0.005004196428571428,-1.003785360650944,-0.09583896830389219
-0.005002946428571429,-1.002406102167071,-0.09447760779340834
-0.005001696428571428,-1.003095731409007,-0.09311624728292328
-0.005000446428571428,-1.003440546029976,-0.09175488677243789
-0.004999196428571428,-1.005164619134817,-0.08971284600671214
-0.004997946428571428,-1.003095731409007,-0.08767080524098547
-0.004996696428571428,-1.002750916788039,-0.08664978485812211
-0.004995446428571428,-1.00240610216707,-0.08426740396477433
-0.004994196428571429,-1.00240610216707,-0.08324638358191146
-0.004992946428571428,-1.002061287546102,-0.0808640026885632
-0.004991696428571429,-1.002061287546102,-0.07916230205045841
-0.004990446428571428,-0.999647585199324,-0.07746060141235206
-0.004989196428571428,-1.001026843683196,-0.07507822051900317
-0.004987946428571428,-0.9986131413364191,-0.07269583962565648
-0.004986696428571428,-0.9986131413364191,-0.07133447911517202
-0.004985446428571428,-0.9968890682315776,-0.06963277847706645
-0.004984196428571428,-0.9951649951267361,-0.06759073771133978
-0.004982946428571429,-0.9951649951267361,-0.06452767656275116
-0.004981696428571428,-0.9930961074009264,-0.06384699630750754
-0.004980446428571428,-0.9917168489170523,-0.06146461541415851
-0.004979196428571428,-0.9896479611912433,-0.05874189439319084
-0.004977946428571428,-0.9879238880864012,-0.05738053388270498
-0.004976696428571428,-0.9865446296025286,-0.05431747273411636
-0.004975446428571428,-0.9844757418767188,-0.05329645235125302
-0.004974196428571429,-0.9824068541509091,-0.05091407145790523
-0.004972946428571428,-0.9806827810460675,-0.04887203069217855
-0.004971696428571429,-0.9796483371831631,-0.0468299899264528
-0.004970446428571428,-0.9758553763525114,-0.04342658865024074
-0.004969196428571428,-0.9751657471105736,-0.04206522813975459
-0.004967946428571428,-0.9724072301428284,-0.03832148673592404
-0.004966696428571428,-0.969303898554113,-0.03661978609781755
-0.004965446428571428,-0.9679246400702405,-0.03457774533209179
-0.004964196428571428,-0.963786864618621,-0.03253570456636511
-0.004962946428571429,-0.9630972353766843,-0.03015332367301732
-0.004961696428571428,-0.9593042745460331,-0.02743060265204842
-0.004960446428571429,-0.9544768698524791,-0.02606924214156458
-0.004959196428571428,-0.9520631675056989,-0.02266584086535283
-0.004957946428571428,-0.9499942797798873,-0.01960277971676188
-0.004956696428571428,-0.9462013189492378,-0.01756073895103613
-0.004955446428571428,-0.9427531727395547,-0.01517835805768834
-0.004954196428571428,-0.9382705826669668,-0.01211529690909832
-0.004952946428571428,-0.9351672510782522,-0.01075393639861387
-0.004951696428571429,-0.9313742902476027,-0.0080312153776462
-0.004950446428571428,-0.927926144037918,-0.005989174611918282
-0.004949196428571429,-0.9251676270701727,-0.003947133846192531
-0.004947946428571428,-0.921029851618552,-0.0008840726976015842
-0.004946696428571428,-0.9165472615459629,0.001498308195747911
-0.004945446428571428,-0.9137887445782177,0.005242049599578454
-0.004944196428571428,-0.9093061545056298,0.00694375023768402
-0.004942946428571428,-0.9041339351911053,0.009326131131031814
-0.004941696428571428,-0.900340974360454,0.01170851202437961
-0.004940446428571429,-0.8958583842878681,0.01443123304534727
-0.004939196428571428,-0.8906861649733417,0.01545225342821185
