Frequency (Hz),Trace 2 (dB),Phase (deg)
0,-11.01886178848544,0
1.586977541601664,-11.32877275368196,0.01799243846373462
3.173955083203328,-14.83039889274967,0.03765737203698764
4.760932624804992,-25.272527472808,0.07136306216759598
6.347910166406656,-48.14362037886261,0.5233131846949459
7.93488770800832,-94.12403219168209,79.33727364018232
9.521865249609984,-89.49448130477313,128.4091175623543
11.10884279121165,-81.16709194387381,107.8059322802844
12.69582033281331,-77.4857323218107,98.26640169474129
14.28279787441498,-76.49369840364038,95.05636172305249
15.86977541601664,-77.93075287325286,93.92477431095817
17.45675295761831,-80.40315188024775,88.4977125987882
19.04373049921997,-82.92708071690215,82.39609273158308
20.63070804082163,-86.73964919414061,91.22291887598892
22.2176855824233,-88.69629405132596,129.7857901585827
23.80466312402496,-86.30884361069724,164.0860552048489
25.39164066562662,-84.50019635882576,12.68984437811527
26.97861820722829,-84.66890934075079,24.25856140548078
28.56559574882995,-89.27186530847037,5.799322325221396
30.15257329043162,-96.44488919520379,122.0365670261586
31.73955083203328,-92.52614946259378,54.69055009636548
33.32652837363494,-87.78533143157975,50.43685267048009
34.91350591523661,-88.44685577423319,50.07532641987556
36.50048345683827,-100.5871492978045,31.03032687028837
38.08746099843994,-92.28345529174442,62.03062575548055
39.6744385400416,-83.98524906270558,53.62433260862296
41.26141608164326,-79.79794318561014,55.14089598383396
42.84839362324493,-79.21185080201712,60.54471676241348
44.43537116484659,-74.19807312825357,174.2879030795929
46.02234870644826,-59.09216360675394,148.6647469578503
47.60932624804992,-52.46101906009901,145.6672337135753
49.19630378965159,-51.0122932850762,144.9437064217601
50.78328133125325,-51.04624449411745,144.7084677903612
52.37025887285491,-52.52432769306954,144.7132214583492
53.95723641445657,-59.26126317936139,145.4462744185696
55.54421395605824,-76.53693631788686,150.7305923764204
57.13119149765991,-92.65409981634825,111.325848298543
58.71816903926157,-95.10240865782748,23.43166114678529
60.30514658086324,-90.70993527562743,143.6468705981603
61.8921241224649,-89.09492344589465,133.5052136391452
63.47910166406656,-90.74376961146228,162.0123766349859
65.06607920566823,-93.47121101219179,171.2577164599511
66.65305674726989,-94.38620449996917,138.2117397238059
68.24003428887156,-98.62766065737354,95.66625038214033
69.82701183047323,-91.38412755632865,14.87602963163561
71.41398937207488,-84.18733818539336,9.22479126989192
73.00096691367655,-81.36091137742307,2.58283951619308
74.5879444552782,-82.82668548453033,0.1919022313238208
76.17492199687987,-87.50831941012214,32.60113225321681
77.76189953848154,-86.54170963755071,92.04025063468788
79.3488770800832,-85.68046082790586,125.9950547352372
80.93585462168487,-89.50238584635771,157.446528719414
82.52283216328652,-100.7799331520542,40.02628488025522
84.10980970488819,-89.62513000474858,173.0424550738875
85.69678724648986,-83.84486519233306,10.32150837184527
87.28376478809152,-81.52026024571775,42.26227536561414
88.87074232969319,-79.18781665806017,56.37233535360792
90.45771987129486,-80.35023417745991,53.99474998437153
92.04469741289651,-85.64636576096619,56.71978371993693
93.63167495449818,-90.67730310584497,42.35235504474492
95.21865249609985,-68.20796340957247,50.22193889729598
96.8056300377015,-57.07513271231883,52.55358604163326
98.39260757930317,-53.37711597178904,52.94283193832733
99.97958512090483,-53.02890376823342,52.84364780237834
101.5665626625065,-53.26422493356816,52.64814749065028
103.1535402041082,-56.67367134249466,52.48654657057881
104.7405177457098,-67.14128941517272,53.42015863974766
106.3274952873115,-86.52161762946557,96.38025298526114
107.9144728289131,-83.41297030306947,141.7768226191938
109.5014503705148,-81.25785767883968,152.8981117133887
111.0884279121165,-82.17155127420126,170.9953662024996
112.6754054537181,-83.68793133495859,23.07948242558277
114.2623829953198,-85.58381511103693,60.56258292342279
115.8493605369215,-89.34576491575761,90.6098806564371
117.4363380785231,-102.1560426092931,18.75669818989339
119.0233156201248,-88.63784544096747,56.52401640231221
120.6102931617265,-88.20639002020799,35.90091050061444
122.1972707033281,-90.2826357822123,163.8064487538998
123.7842482449298,-86.32732054104835,115.5438283486447
125.3712257865315,-83.2631822018169,103.5098638043702
126.9582033281331,-84.76593663879362,109.7751193891194
128.5451808697348,-90.7850340279592,132.209750256186
130.1321584113365,-90.56324165759064,170.5446737799559
131.7191359529381,-86.50633529494017,173.3944017586407
133.3061134945398,-86.60569859717344,166.8897080705804
134.8930910361414,-88.80443580842716,152.2294163381869
136.4800685777431,-94.23144902343714,101.5605853801163
138.0670461193448,-88.19199635385797,28.15782879523359
139.6540236609465,-83.430672700432,19.3150143160204
141.2410012025481,-79.71527068944836,29.79554786310125
142.8279787441498,-76.39384218826652,43.11916861980027
144.4149562857514,-75.47549941348015,49.20194276673585
146.0019338273531,-79.73811054916213,38.33064375386861
147.5889113689548,-83.30108356302289,134.3393463263754
149.1758889105564,-78.75887377758326,105.9820206648121
150.7628664521581,-76.34657059504097,96.14187148052525
152.3498439937597,-76.18263813005754,90.54901282777969
