Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
3019.951720402016,-0.03286915693908294,-6.834223613899267,-53.10904752196127
3090.295432513591,-0.03138587083790763,-7.519869305956624,-56.75376554889903
3162.277660168379,-0.03073652388688789,-8.195767487405707,-59.88627993236067
3235.936569296283,-0.02970314814293969,-8.857250111458123,-62.59636662410074
3311.311214825911,-0.02969552660424084,-9.501150479083751,-64.94512435274488
3388.441561392026,-0.02856315841126616,-10.12499446122004,-66.99809821441647
3467.368504525316,-0.02704335674994934,-10.72770113103252,-68.77465510116383
3548.133892335755,-0.02733077608018183,-11.30867166339261,-70.34997218275393
3630.780547701014,-0.02667520937965747,-11.8687009987565,-71.72977806350011
3715.352290971725,-0.02579631664947651,-12.40906335739933,-72.96664703779618
3801.893963205611,-0.0247669682833952,-12.924615746404,-74.06288842625057
3890.451449942806,-0.0244708677036998,-13.42492386190127,-75.04072489457769
3981.071705534972,-0.02425435796532512,-13.9080809881623,-75.91937844069957
4073.802778041127,-0.02356108085413601,-14.37213909217731,-76.72221966415077
4168.693834703354,-0.02300042790189545,-14.82258145800413,-77.42608231369468
4265.795188015927,-0.02230653970751841,-15.25811658770502,-78.11610720708543
4365.158322401659,-0.02132664082191159,-15.67785948673224,-78.70740038477994
4466.835921509632,-0.02097448731832277,-16.08529222429953,-79.24244735640787
4570.88189614875,-0.01996511631812713,-16.4824995946672,-79.75549101608998
4677.351412871983,-0.01950519028593562,-16.8680282021266,-80.22792567692045
4786.300923226384,-0.01892001114963367,-17.23655690748457,-80.65115344755047
4897.788193684461,-0.01831462724416899,-17.60029958242463,-81.04772775954588
5011.872336272722,-0.01819350292163385,-17.9587278585526,-81.43401445206212
5128.613839913648,-0.02052079926436388,-18.30403670772951,-81.75686480501302
5248.074602497725,-0.0175693714726243,-18.64144109152619,-82.06772873894089
5370.317963702527,-0.0156093412954595,-18.96932892930571,-82.40434855341127
5495.408738576245,-0.0139701601115995,-19.29894767344266,-82.68872013058345
5623.413251903491,-0.01404295554601429,-19.61596935795072,-82.96805725785021
5754.39937337157,-0.01354065183565929,-19.92532210593087,-83.1918192885357
5888.43655355589,-0.01768656497309197,-20.22850224116908,-83.44054524646545
6025.595860743578,-0.01167011015812919,-20.52237891956557,-83.67014492409959
6165.950018614822,-0.01073259567031703,-20.82106586815322,-83.89847824096586
6309.573444801934,-0.01064809823988549,-21.11046230513642,-84.07117318507767
6456.542290346556,-0.01447468524533808,-21.39535132886072,-84.24372476360648
6606.934480075959,-0.008762995006560609,-21.67082415861033,-84.42659074700978
6760.829753919817,-0.007992253387836655,-21.94743424956308,-84.62378450066021
6918.309709189364,-0.01539014101336834,-22.21589992570205,-84.79263094566068
7079.457843841379,-0.005931171575937719,-22.48517867001485,-84.9163194929551
7244.3596007499,-0.0060096124486495,-22.75170916449239,-85.06425255404437
7413.102413009175,-0.01041242546407234,-23.01762685567981,-85.21894205015558
7585.775750291838,-0.004460667451964806,-23.26510343099319,-85.35321942302267
7762.471166286918,-0.01459787654867745,-23.52908584918087,-85.49333415216186
7943.282347242814,-0.002514544052895155,-23.79153364992902,-85.62651165452375
8128.305161640993,-0.003511194494029337,-24.03968753529101,-85.77656934176582
8317.637711026711,-0.003921980252886984,-24.28763801869758,-85.85990557999719
8511.380382023766,-0.001464325354090991,-24.53787790820127,-85.9544023559026
8709.635899560806,-0.005545736547866799,-24.77376442337759,-86.06926190846417
8912.509381337455,0.0005683843548123532,-25.01593446883356,-86.1978693243183
9120.108393559096,-0.006762414793036816,-25.25604927481269,-86.31062561625777
9332.543007969911,0.001879411799767379,-25.48989359245206,-86.39149516187697
9549.925860214358,-0.00518542233884119,-25.72699573927147,-86.43618922406901
9772.372209558107,0.002823720218578843,-25.96216447593043,-86.5402449350039
10000,-0.0003053428668890948,-26.19151145374243,-86.66196312616819
