Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-66.87035386609266,0,-61.2284780961027,0
2.44140625,-66.89302841119867,1.155546958649969,-61.5321657394346,179.8787180997291
4.8828125,-69.67240368103309,4.228131785071271,-65.0712084633455,179.6100365227982
7.32421875,-77.29089432123121,10.19650525335454,-75.88702115511755,178.5268985564691
9.765625,-83.38072362450852,18.24377376070944,-99.91293561651288,100.5640749847329
12.20703125,-83.88603804766285,15.33184903325315,-95.75880977480273,42.36609093289521
14.6484375,-87.45312707491344,11.94731330559141,-97.43754226938294,48.8911733939623
17.08984375,-98.08970374328015,89.43350423609314,-99.93092169558828,82.54572190508966
19.53125,-87.36505905793186,142.7428394392606,-102.3746022509018,174.934963437881
21.97265625,-83.58319113224678,135.3402157747771,-95.02822158935649,146.7331379479072
24.4140625,-81.41428477108852,121.7194404413517,-93.60208999713458,131.1707428256787
26.85546875,-80.15768725472198,108.556369696673,-89.62463456661497,136.2356882557054
29.296875,-79.57878865058566,95.28015648441134,-88.67332342011503,139.2041179288666
31.73828125,-79.36940376047917,85.85419296608632,-93.59923555681544,122.5719240671997
34.1796875,-79.86110026711162,80.27604634988451,-100.5504855750313,2.942586570749426
36.62109375,-80.01948627289804,74.08569147757339,-88.98356955962566,145.7447710053826
39.0625,-80.22260219527007,66.91871072313577,-85.12214837352988,148.1092571741845
41.50390625,-81.35875923425866,53.57689241693881,-84.24540628272452,157.9517584340459
43.9453125,-82.29259506723244,47.30910595379935,-85.77802926985143,166.3961404226181
46.38671875,-84.12754629615188,56.54762862089644,-90.8811218010035,179.7010121612533
48.828125,-87.0922496344899,81.6802361765567,-94.38399245837103,46.57637765042877
51.26953125,-87.06698478228591,112.389455958342,-95.76356809823095,59.18549197506923
53.7109375,-86.66784584779873,124.3183918046741,-106.6516136376317,25.55910455374064
56.15234375,-88.44243510428825,139.7873670089593,-122.6496118079056,151.3160007477585
58.59375,-93.06161557624337,175.723735825984,-114.6710142928439,114.5042138407236
61.03515625,-91.62157219938179,43.71927353548038,-97.88313452593471,103.4594191306579
63.4765625,-88.71298667930836,45.70378701487954,-92.07716447826436,118.5781926265435
65.91796875,-92.02013756921235,73.20701425302093,-88.03420052378763,153.9910299679391
68.359375,-90.91568024440795,157.2501345437162,-84.36962147064915,163.4445220763701
70.80078125,-86.93685799180901,14.27099643113528,-84.22219551110139,158.9086467597031
73.2421875,-84.20055755644486,23.69075299096109,-86.25950876838347,159.8624786784793
75.68359375,-84.70645393833283,20.88828584905086,-88.92948813849564,172.0605360579403
78.125,-90.17650796923783,14.3156606967745,-92.16717618289609,167.412642601528
80.56640625,-94.27674956571448,152.9728537184511,-98.65738197014511,160.3594824755606
83.0078125,-89.51822151274294,145.7846810273301,-99.03311298830056,77.48791951290026
85.44921875,-86.79635385844077,166.7794414543091,-94.99645359083232,94.59908238703404
87.890625,-85.77162824452975,5.638302281292487,-95.10316483328617,146.7829691856608
90.33203125,-87.93382999290459,24.0304121228512,-90.53447605645673,176.4519837036342
92.7734375,-92.51392090669994,99.33902037578223,-94.67571395098433,11.36509254028511
95.21484375,-85.09897782062797,162.2871606773111,-97.05149979691031,107.4180062717523
97.65625,-81.89616087300979,4.236811357100825,-91.92696531054611,127.202411485099
100.09765625,-81.33934376571951,15.97689624874151,-90.6764213262847,147.6764872648804
102.5390625,-83.26550588045495,23.98568832466398,-90.26327841049488,162.1019273158794
104.98046875,-88.48253863682088,61.7649695644665,-91.24178936194239,148.8733970489839
107.421875,-90.71093997183056,130.7689025745642,-91.28317293228665,119.1035166849122
109.86328125,-92.19114277393945,24.26093944371113,-90.89309824713808,91.93218058036706
112.3046875,-88.05727041887863,69.90295069846267,-91.21749915729289,82.88316499790004
114.74609375,-84.60538085747244,79.05414798676861,-92.25193534804848,130.4301382642953
117.1875,-83.66949205656262,80.87558592771397,-87.15239491365145,174.8821135795355
119.62890625,-84.16425218709261,78.36480342799418,-84.90696227761985,9.939923204698381
122.0703125,-83.28607945597045,60.67416174072029,-84.90354732756904,21.17651830665175
124.51171875,-81.82526501914367,44.20483049337742,-87.45866098639857,39.81931959545985
126.953125,-82.61139911907428,47.95206428288589,-90.519027501831,92.52438571605954
129.39453125,-84.31387074166315,66.34079268088935,-88.39109453231859,130.1769963341729
131.8359375,-85.41840819319305,71.70002930590037,-91.10569208521665,125.864393129176
134.27734375,-87.34949718347627,69.73556737517208,-91.97681343092611,57.73413266333915
136.71875,-87.96751613137815,70.58572917639479,-87.1405923060051,37.17275017157957
139.16015625,-84.27675985823539,55.762593580211,-86.25843185508779,34.73619452462501
141.6015625,-80.83749171171442,49.04331472087355,-87.27939693970575,45.44644727471428
144.04296875,-80.43342877796036,59.95933102696215,-89.24945089547728,70.63289563238314
146.484375,-81.37603203858511,80.54734903403956,-94.35809336772999,95.68893154627322
148.92578125,-83.01999510276903,102.7319684458541,-97.81384324185525,16.29707596487268
151.3671875,-83.88379919924884,133.1219773979531,-90.82272465247136,30.61568126961409
153.80859375,-82.52576615030328,154.7842364952154,-89.49082898989695,29.77344911351144
156.25,-81.46768402093485,163.8482405464605,-87.9829910451426,38.65560783207928
158.69140625,-81.74376919283353,164.2026152384832,-86.91403904970103,37.59708083511065
161.1328125,-82.0120879937911,165.3784593826668,-89.66797029026283,33.55612652574236
163.57421875,-81.59265790889248,169.7307415750001,-97.29286457219345,69.83854443250915
166.015625,-82.20516134240577,163.6966942821985,-100.3523463728914,163.6073074278362
168.45703125,-82.50965855016629,149.8048788372975,-92.46743892204492,66.14751723607628
170.8984375,-81.64107347065584,136.5843934815147,-87.23372638323437,74.03881820575089
173.33984375,-81.33848850706445,124.3269769153624,-85.50577171121216,74.48567144902195
175.78125,-81.67411797496072,121.8235379197761,-86.03418454876203,82.90803501872659
178.22265625,-82.74052935427706,128.3455889602609,-88.65208258387347,87.9922381811873
180.6640625,-86.81205334982297,141.2073242892178,-92.51025670430994,78.08235939356695
183.10546875,-90.47939337962976,176.01083509485,-97.91414690600689,94.56976365135301
185.546875,-91.41196959465381,2.737966008878486,-102.8083570381054,132.4556292404061
187.98828125,-94.00981689683209,174.0363011323752,-110.0994564011982,106.8030399534888
190.4296875,-92.78779086501541,165.262699630398,-96.410745411874,125.9037917337258
192.87109375,-91.23224710132895,137.6023376214735,-90.42450914602901,131.4817747767815
195.3125,-91.09729640909504,113.0884355737113,-89.39944852090701,139.2465094801388
197.75390625,-95.55735155211536,87.14759130732017,-88.69701621202587,143.8734329230569
200.1953125,-95.03048034054726,52.85607537726759,-91.14310162301693,143.418202030172
202.63671875,-90.48879352846339,70.68859194247526,-105.1961780486778,177.5597816535925
205.078125,-89.60979192004157,81.83423753799552,-95.21077116821218,101.9108334424903
207.51953125,-92.02859711268331,99.45591927108343,-90.20982694457062,95.23547764902456
209.9609375,-91.7704390659013,93.24967835920644,-88.04744939542292,94.56333032080217
212.40234375,-91.32588104239302,68.61073805451979,-87.98880531666654,88.27305455842792
214.84375,-94.72463513750094,72.68913661842629,-90.06925399659961,76.37029083690501
217.28515625,-93.58014696437067,101.0510398556357,-95.54263652910761,69.55927551217762
219.7265625,-93.27693049572841,131.9320747528155,-97.98850749581922,24.32553213783079
222.16796875,-87.79243228682269,0.8615145888631689,-92.58146130230436,9.780481808927117
224.609375,-83.66106951245845,0.457694406298928,-90.98091106727425,20.29702282270074
227.05078125,-81.96684408826165,172.5859036053022,-89.77326259699575,45.03133391281359
229.4921875,-79.85224273007643,168.3781928416513,-88.11478792666917,63.35200827832154
231.93359375,-78.6351559241553,162.5588517761298,-89.76846030364312,63.16354901302893
234.375,-79.75165484651866,160.6983528162101,-96.55149807368539,58.79748027325445
236.81640625,-83.06798230806646,170.0578170337594,-110.5396199777813,5.780508518954972
239.2578125,-89.2842078444138,1.514017686775481,-99.76512288564371,14.24034165768885
241.69921875,-104.4028921088386,91.8744133049707,-91.75068573997122,150.6784051968332
244.140625,-94.62632526510336,151.9602371506287,-87.02802545771237,135.1215165609952
246.58203125,-100.5019756495954,24.77428026992099,-85.69600078404234,124.5077570779494
249.0234375,-95.70131967300325,106.9641757959796,-87.05172006621014,114.1938173553394
251.46484375,-94.58661643822575,96.74326000429296,-92.33357465157162,87.0644432400877
253.90625,-88.93769367473075,71.92462844361829,-98.56437345560083,39.36853023058338
256.34765625,-84.65889625511046,68.83948844284328,-95.29522458764603,173.4649085673315
258.7890625,-84.65838178578407,61.89743252336649,-90.32146901304735,172.0838982379555
261.23046875,-88.04353171974694,50.47586619905329,-93.51436768601653,4.249974954390326
263.671875,-96.47175054689632,41.18642182318864,-100.5141531524155,44.76986654863196
266.11328125,-96.40897410598174,103.0600173496093,-105.5600180072072,116.4837126186872
268.5546875,-88.9210918036119,116.4638386424165,-94.27202049726461,167.6874949819015
270.99609375,-86.01620680038765,143.3917101539555,-93.44868014237673,179.9553026256257
273.4375,-84.89528077163368,170.5840336370991,-96.82154814085371,58.80295157487026
275.87890625,-83.99025928577356,19.23076978372609,-94.44001339387007,104.4388552905032
278.3203125,-83.83362846594923,26.12694785273834,-92.66585329818135,140.126774357094
280.76171875,-86.2293909484894,26.79394576642031,-90.86608961511845,153.9740735463388
283.203125,-88.39536184529268,46.03572562973306,-92.49433881670676,146.4596920726674
285.64453125,-90.50857050243097,52.6796379917174,-95.08819633034477,122.1356721237657
288.0859375,-98.27550852029985,105.0972096628793,-96.51385265822123,91.11623110189176
290.52734375,-89.7161197708636,151.9436378784705,-101.4875501855597,7.546909136074339
292.96875,-86.62149901583834,150.678744828733,-96.13064509315107,108.6082265843336
295.41015625,-84.37616549677543,155.4032053630596,-94.02239481693287,66.16241477841953
297.8515625,-83.79785895315892,152.0571281638078,-89.31938437631638,54.07586365271111
300.29296875,-86.7945366314335,135.4399210686981,-87.30571664354984,48.05576681333022
